Name,Smiles,Property,Smiles_stand
hERG022,COc1c(OC)cc(CNCC(COc2cc(c3cc2)C=CC(=O)N3)O)cc1,1,COc1ccc(CNCC(O)COc2ccc3[nH]c(=O)ccc3c2)cc1OC
hERG023,CC1N(C(Nc2ccc(C(C)(C)C)cc2)=NC#N)CCN(c3c(F)cccn3)C1,1,CC1CN(c2ncccc2F)CCN1C(=NC#N)Nc1ccc(C(C)(C)C)cc1
hERG024,CC(c1ccc(NC(N2CCN(c3c(Cl)cccn3)CC2)=O)cc1)(C)C,1,CC(C)(C)c1ccc(NC(=O)N2CCN(c3ncccc3Cl)CC2)cc1
hERG025,CN(CCCn1c(c2c(C(C(=O)NC3=O)=C3c4c(c5[nH]c4)cccc5)c1)cccc2)C,1,CN(C)CCCn1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc21
hERG026,COc1c(OC)c(C(C2CCN(CCc3ccc(F)cc3)CC2)O)ccc1,1,COc1cccc(C(O)C2CCN(CCc3ccc(F)cc3)CC2)c1OC
hERG027,OCCN1CCN(CCCN2c(c3Sc(c24)cccc4)cc(Cl)cc3)CC1,1,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
hERG028,O=C1NN=C(c2ccc(Nc3ccncc3)cc2)CC1,1,O=C1CCC(c2ccc(Nc3ccncc3)cc2)=NN1
hERG029,CN1c(c2C(c3ccccc3)=NC(NC(Nc4cc(C)ccc4)=O)C1=O)cccc2,1,Cc1cccc(NC(=O)NC2N=C(c3ccccc3)c3ccccc3N(C)C2=O)c1
hERG030,COc1c(OC)cc(C(N2CCN(c3cc(c4cc3)CCC(=O)N4)CC2)=O)cc1,1,COc1ccc(C(=O)N2CCN(c3ccc4c(c3)CCC(=O)N4)CC2)cc1OC
hERG031,FC1C(c2c(c3[nH]c2c4ccccc4)cccc3)CNCC1,1,FC1CCNCC1c1c(-c2ccccc2)[nH]c2ccccc12
hERG032,Clc1cc(CN2C(=O)C(N(Cc3n(Cc4ccc(C#N)cc4)cnc3)CCN5CCNCC5)CC2)ccc1,1,N#Cc1ccc(Cn2cncc2CN(CCN2CCNCC2)C2CCN(Cc3cccc(Cl)c3)C2=O)cc1
hERG033,CNCCCC1c(c2C=Cc(c13)cccc3)cccc2,1,CNCCCC1c2ccccc2C=Cc2ccccc21
hERG034,CC(c1ccccc1)(C2C=CC(C(c3cc(OC(F)F)c(OC(F)F)cc3)c4cc[n+]([O-])cc4)=CN2)O,1,CC(O)(c1ccccc1)C1C=CC(C(c2cc[n+]([O-])cc2)c2ccc(OC(F)F)c(OC(F)F)c2)=CN1
hERG035,CCN(Cc1cc(c2cc1)CCC(N3C(=O)CN(Cc4cscc4)CC3)C2)CC,1,CCN(CC)Cc1ccc2c(c1)CCC(N1CCN(Cc3ccsc3)CC1=O)C2
hERG036,CCOC(C1C(N(C)C2CC1OC(c3ccccc3)=O)CC2)=O,1,CCOC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C
hERG037,CC(N=C(N1C2=O)C(O)CCC1)=C2CCN3CCC(c4c(c5on4)ccc(F)c5)CC3,1,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O
hERG038,Fc1ccc(C2C3(CCN(C4(c5ccc(F)cc5)CCCCC4)CC3)C(=O)NC2)cc1,1,O=C1NCC(c2ccc(F)cc2)C12CCN(C1(c3ccc(F)cc3)CCCCC1)CC2
hERG039,CN(C(N1C(c2ccccc2)C=C(c3c(F)ccc(F)c3)C1)=O)C4CCNCC4,1,CN(C(=O)N1CC(c2cc(F)ccc2F)=CC1c1ccccc1)C1CCNCC1
hERG040,CN(C(N1C(c2ccccc2)C=C(c3c(F)ccc(F)c3)C1)=O)CCCN,1,CN(CCCN)C(=O)N1CC(c2cc(F)ccc2F)=CC1c1ccccc1
hERG041,COc1ccc(CCN2CCC(Nc3n(Cc4ccc(F)cc4)c(c5n3)cccc5)CC2)cc1,1,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1
hERG042,Fc1ccc(c2c(C3CNCCC3)c(c4[nH]2)ccc(F)c4)cc1,1,Fc1ccc(-c2[nH]c3cc(F)ccc3c2C2CCCNC2)cc1
hERG043,CNCCCN1c(c2CCc(c13)cccc3)cccc2,1,CNCCCN1c2ccccc2CCc2ccccc21
hERG044,CN1CCN(CCCCN2C(=O)N(N=Cc3ccc(c4ccc(Cl)cc4)o3)CC2=O)CC1,1,CN1CCN(CCCCN2C(=O)CN(N=Cc3ccc(-c4ccc(Cl)cc4)o3)C2=O)CC1
hERG045,O=C1C2(CCN(C3C(c4ccccc4)CCCC3)CC2)C(c5ccccc5)CN1,1,O=C1NCC(c2ccccc2)C12CCN(C1CCCCC1c1ccccc1)CC2
hERG046,FC1C(c2c(c3[nH]c2c4ccccc4)ccc(Cl)c3)CNCC1,1,FC1CCNCC1c1c(-c2ccccc2)[nH]c2cc(Cl)ccc12
hERG047,CN(CCCN1c(c2Sc(c13)cccc3)cc(Cl)cc2)C,1,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
hERG048,CCC(c1c(c2n(c3ccc(F)cc3)c1)cc(Cl)cc2)CC,1,CCC(CC)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12
hERG049,CN1C(CCOC(c2ccc(Cl)cc2)(c3ccccc3)C)CCC1,1,CN1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1
hERG050,COc1c(OCC2CCN(C(CN(C)C)=O)CC2)cc(c3c1)ncnc3Nc4c(F)cc(Br)cc4,1,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C(=O)CN(C)C)CC1
hERG051,CC(C(C(N1C(c2ccccc2)C=C(c3c(F)ccc(F)c3)C1)=O)N)(C)C,1,CC(C)(C)C(N)C(=O)N1CC(c2cc(F)ccc2F)=CC1c1ccccc1
hERG052,FC1C(c2c(c3[nH]c2c4cscc4)ccc(F)c3)CNCC1,1,Fc1ccc2c(C3CNCCC3F)c(-c3ccsc3)[nH]c2c1
hERG053,CC(NC(C)(C)C)CC(c1ccccc1)c2ccccc2,1,CC(CC(c1ccccc1)c1ccccc1)NC(C)(C)C
hERG054,COc1c(OC)cc(c2c1)c(N)nc(N3CCN(C(c4ccco4)=O)CC3)n2,1,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC
hERG055,CCC(c1ccccc1)=C(c2ccc(OCCN(C)C)cc2)c3ccccc3,1,CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
hERG056,Fc1ccc(C(c2ccc(F)cc2)N3CCNCC3)cc1,1,Fc1ccc(C(c2ccc(F)cc2)N2CCNCC2)cc1
hERG057,FC1C(c2c(c3[nH]c2c4ccc(F)cc4)ccc(F)c3)CNCC1,1,Fc1ccc(-c2[nH]c3cc(F)ccc3c2C2CNCCC2F)cc1
hERG058,CN(CC1CCN(CC(Nc2nc(c3ccc(C)o3)nc(n4c(C)ccn4)c2)=O)CC1)C,1,Cc1ccc(-c2nc(NC(=O)CN3CCC(CN(C)C)CC3)cc(-n3nccc3C)n2)o1
hERG059,Cc1nc(CCN2CCC(C(c3ccc(NS(C)(=O)=O)cc3)=O)CC2)ccc1,1,Cc1cccc(CCN2CCC(C(=O)c3ccc(NS(C)(=O)=O)cc3)CC2)n1
hERG060,CCN(Cc1cc(c2cc1)CCC(N3C(=O)CN(CCc4cc(C(F)(F)F)cc(N)c4)CC3)C2)CC,1,CCN(CC)Cc1ccc2c(c1)CCC(N1CCN(CCc3cc(N)cc(C(F)(F)F)c3)CC1=O)C2
hERG061,OC1(C2CCC(F)CC2)C(N3CCC4(C(=O)NCC4c5ccccc5)CC3)CCCC1,1,O=C1NCC(c2ccccc2)C12CCN(C1CCCCC1(O)C1CCC(F)CC1)CC2
hERG062,CCC(N(c1ccccc1)C2CCN(CCc3ccccc3)CC2)=O,1,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1
hERG063,CC(N1CCN(c2ccc(OCC3OC(c4c(Cl)cc(Cl)cc4)(Cn5cncc5)OC3)cc2)CC1)=O,1,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
hERG064,CCC(c1c(c2n(c3ccc(F)cc3)c1)cc(Cl)cc2)=O,1,CCC(=O)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12
hERG065,COc1c(OC)cc(c2c1)C(=O)C(CC3CCN(Cc4ccccc4)CC3)C2,1,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2
hERG066,Fc1ccc(CCN2CC(=O)N(C3Cc(c4CC3)ccc(CN5CCC(C(F)(F)F)CC5)c4)CC2)cc1,1,O=C1CN(CCc2ccc(F)cc2)CCN1C1CCc2cc(CN3CCC(C(F)(F)F)CC3)ccc2C1
hERG067,CCOC(C(C(c1c(Cl)cccc1)C(C(OC)=O)=C(C)N2)=C2COCCN)=O,1,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
hERG068,COc1c(C(NC2C(CN3CC2)CCC3)=O)cc(Cl)c(N)c1,1,COc1cc(N)c(Cl)cc1C(=O)NC1CCN2CCCC1C2
hERG069,Clc1cc(Cl)c(COC(c2c(Cl)cc(Cl)cc2)Cn3cncc3)cc1,1,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
hERG070,Fc1ccc(n2c(c3c(C4CCN(CCN5C(=O)NCC5)CC4)c2)ccc(Cl)c3)cc1,1,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1
hERG071,FC1C(c2c(c3[nH]c2c4ccccc4)cccc3Cl)CNCC1,1,FC1CCNCC1c1c(-c2ccccc2)[nH]c2c(Cl)cccc12
hERG072,CCC(C(c1ccccc1)(c2ccccc2)CC(N(C)C)C)OC(C)=O,1,CCC(OC(C)=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
hERG073,CC(C(N1C(c2ccccc2)C=C(c3c(F)ccc(F)c3)C1)=O)(CN)C,1,CC(C)(CN)C(=O)N1CC(c2cc(F)ccc2F)=CC1c1ccccc1
hERG074,CCC(c1c(c2n(c3ccc(F)cc3)c1)cc(Cl)cc2)O,1,CCC(O)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12
hERG075,Cc1[nH]c2c(c(c3N(C(c4ccc(NC(c5c(c6ccccc6)cccc5)=O)cc4)=O)CC2)cccc3)n1,1,Cc1nc2c([nH]1)CCN(C(=O)c1ccc(NC(=O)c3ccccc3-c3ccccc3)cc1)c1ccccc1-2
hERG076,CCOC(N1CCC(=C2c(c3CCc(c24)cc(Cl)cc4)nccc3)CC1)=O,1,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1
hERG077,NCCC(c1ccccc1)Oc2ccc(C(F)(F)F)cc2,1,NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
hERG078,CN1C2c(c3CC1)c(c(c4C2)c(O)c(O)cc4)ccc3,1,CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3
hERG079,CC(C(C(N1C(c2ccccc2)C=C(c3c(F)ccc(F)c3)C1)=O)N)C,1,CC(C)C(N)C(=O)N1CC(c2cc(F)ccc2F)=CC1c1ccccc1
hERG081,CC(N(C(C)C)CCC(c1c(O)ccc(C)c1)c2ccccc2)C,1,Cc1ccc(O)c(C(CCN(C(C)C)C(C)C)c2ccccc2)c1
hERG082,COc1ccc(CN(c2ncccc2)CCN(C)C)cc1,1,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1
hERG083,CCN(CCCC(Nc1c(c2ncc1)ccc(Cl)c2)C)CC,1,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
hERG084,Brc1cc(c2cc1)OC(C(NC3CCN(Cc4cc(c5cc4)OCO5)CC3)=O)=CC2=O,1,O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2ccc(Br)cc2o1
hERG085,C(N1CC(C2(CCCC2)C3C1)CN(CC4CC4)C3)C5CC5,1,C1CCC2(C1)C1CN(CC3CC3)CC2CN(CC2CC2)C1
hERG086,FC1C(c2c(c3[nH]c2C(CC=CN4)=C4)ccc(F)c3)CNCC1,1,Fc1ccc2c(C3CNCCC3F)c(C3=CNC=CC3)[nH]c2c1
hERG087,COc1c(OC)c(c2cc1)C(Cc3ccccc3)N4C(c(c5CC4)cc(OC)c(OC)c5)C2,1,COc1cc2c(cc1OC)C1Cc3ccc(OC)c(OC)c3C(Cc3ccccc3)N1CC2
hERG088,OC(c1c(c2nc(C(F)(F)F)c1)cccc2C(F)(F)F)C3NCCCC3,1,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1
hERG089,COc1c(OC)cc(c2c1)C(Cc3ccc(Oc4c(O)ccc(CC5c(c6CCN5C)cc(OC)c(OC)c6)c4)cc3)N(C)CC2,1,COc1cc2c(cc1OC)C(Cc1ccc(Oc3cc(CC4c5cc(OC)c(OC)cc5CCN4C)ccc3O)cc1)N(C)CC2
hERG090,CC(CN1CC(CNC(C(C(N2C(N)=C3Cl)NC(C)=C2)=C3)=O)CCC1)C,1,CC1=CN2C(N)=C(Cl)C=C(C(=O)NCC3CCCN(CC(C)C)C3)C2N1
hERG091,OC(c1ccc(F)cc1)CCCN2CCC(c3ccc(Cl)cc3)(O)CC2,1,OC(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
hERG092,CC(C(Cc1ccc(Cl)cc1)(O)C)CN(C)C,1,CC(CN(C)C)C(C)(O)Cc1ccc(Cl)cc1
hERG093,Clc1cc(N2CCN(CCCN3C(=O)N(C4=N3)C=CC=C4)CC2)ccc1,1,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12
hERG095,FC1C(c2c(c3[nH]c2c4ccccc4)cccc3F)CNCC1,1,Fc1cccc2c(C3CNCCC3F)c(-c3ccccc3)[nH]c12
hERG096,Clc1c(C(n2cncc2)(c3ccccc3)c4ccccc4)cccc1,1,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
hERG097,CNCCCC(c(c12)cccc1)(c(c34)cccc3)CCC24,1,CNCCCC12CCC(c3ccccc31)c1ccccc12
hERG098,O=C1N(c2ccncc2)CCC1NCc3n(Cc4ccc(C#N)cc4)cnc3,1,N#Cc1ccc(Cn2cncc2CNC2CCN(c3ccncc3)C2=O)cc1
hERG099,Cc1c(CN2C(=O)c3c(n(C)c(c34)cccc4)CC2)[nH]cn1,1,Cc1nc[nH]c1CN1CCc2c(c3ccccc3n2C)C1=O
hERG100,Cc1c(NC(CN2CCN(CCCC(c3ccc(F)cc3)c4ccc(F)cc4)CC2)=O)c(C)ccc1,1,Cc1cccc(C)c1NC(=O)CN1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
hERG101,CCN(Cc1cc(c2cc1)CCC(N3C(=O)CN(CCc4ccc(Cl)cc4)CC3)C2)CC,1,CCN(CC)Cc1ccc2c(c1)CCC(N1CCN(CCc3ccc(Cl)cc3)CC1=O)C2
hERG102,CCN(Cc1cc(c2cc1)CCC(N3C(=O)CN(CCC4CCCCC4)CC3)C2)CC,1,CCN(CC)Cc1ccc2c(c1)CCC(N1CCN(CCC3CCCCC3)CC1=O)C2
hERG103,CN(CCCN1c(c2CCc(c13)cccc3)cccc2)C,1,CN(C)CCCN1c2ccccc2CCc2ccccc21
hERG104,NC(C(N1C(c2ccccc2)C=C(c3c(F)ccc(F)c3)C1)=O)C4CC4,1,NC(C(=O)N1CC(c2cc(F)ccc2F)=CC1c1ccccc1)C1CC1
hERG105,CCc1c(c2n(c3ccc(F)cc3)c1)cc(Cl)cc2,1,CCc1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12
hERG106,CN1CCN(CCCN2c(c3Sc(c24)cccc4)cc(C(F)(F)F)cc3)CC1,1,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
hERG107,FC(Oc1cc(c2cc1)OC(C(NC3CCN(Cc4cc(c5cc4)OCO5)CC3)=O)=CC2=O)F,1,O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2ccc(OC(F)F)cc2o1
hERG108,Clc1cc(c2cc1)OC(C(NC3CCN(Cc4cc(c5cc4)OCO5)CC3)=O)=CC2=O,1,O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2ccc(Cl)cc2o1
hERG109,Nc1ccc(C(N2CC3CC(CN(Cc4ccccc4)C3)C2)=O)cc1,1,Nc1ccc(C(=O)N2CC3CC(CN(Cc4ccccc4)C3)C2)cc1
hERG110,CCC(OC(c1ccccc1)(C(CNC)C)Cc2ccccc2)=O,1,CCC(=O)OC(Cc1ccccc1)(c1ccccc1)C(C)CNC
hERG111,Fc1ccc(C(c2ccc(F)cc2)CCCN3CCC([N+](C4=O)=C5C(=N4)C=CC=C5)CC3)cc1,1,O=C1N=c2ccccc2=[N+]1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
hERG112,CN(C1CCC2)C2CC(NC(c3c(c4n(C)n3)cccc4)=O)C1,1,CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2
hERG113,COCCCCC(c1ccc(C(F)(F)F)cc1)=NOCCN,1,COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1
hERG114,FC(COc1cc(C(NCC2NCCCC2)=O)c(OCC(F)(F)F)cc1)(F)F,1,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F
hERG115,O=C1N(CCCCN2CCN(c3ncccn3)CC2)C(=O)CC4(CCCC4)C1,1,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1
hERG116,CN(CCCC1(c2ccc(F)cc2)c(c3CO1)ccc(C#N)c3)C,1,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
hERG117,Fc1ccc(CCN2CC(=O)N(C3Cc(c4CC3)ccc(Cn5cncc5)c4)CC2)cc1,1,O=C1CN(CCc2ccc(F)cc2)CCN1C1CCc2cc(Cn3ccnc3)ccc2C1
hERG118,Fc1cc(c2cc1)C(=O)C=C(C(NC3CCN(Cc4cc(c5cc4)OCO5)CC3)=O)O2,1,O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2cc(F)ccc2o1
hERG119,Clc1cc(c2cc1)N=C(N3CCNCC3)c(c4N2)cccc4,1,Clc1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1N2
hERG120,FC1C(c2c(c3[nH]c2c4ccccc4)ccc(F)c3)CNCC1,1,Fc1ccc2c(C3CNCCC3F)c(-c3ccccc3)[nH]c2c1
hERG121,COCCCN1CCC(NC(c2c(c3c(N)c(Cl)c2)OCC3)=O)CC1,1,COCCCN1CCC(NC(=O)c2cc(Cl)c(N)c3c2OCC3)CC1
hERG122,C1C(N(c2ccccc2)C3C1)CC(c4c(c5[nH]c4c6ccccc6)cccc5)C3,1,c1ccc(-c2[nH]c3ccccc3c2C2CC3CCC(C2)N3c2ccccc2)cc1
hERG123,CN1CCC(CC(Nc2nc(c3ccc(C)o3)nc(n4c(C)ccn4)c2)=O)CC1,1,Cc1ccc(-c2nc(NC(=O)CC3CCN(C)CC3)cc(-n3nccc3C)n2)o1
hERG124,CC(C(Cl)(Cl)Cl)(O)C,1,CC(C)(O)C(Cl)(Cl)Cl
hERG125,Clc1cc(c2cc1)CCc(c3C2=C4CCNCC4)cccn3,1,Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1
hERG126,COc1c(N2CC(O)CC2)ccc(N3C(=O)c(c4N=C3)sc(c5ccc(Cl)cc5)c4)c1,1,COc1cc(-n2cnc3cc(-c4ccc(Cl)cc4)sc3c2=O)ccc1N1CCC(O)C1
hERG127,CC(c1c(c2n(c3ccc(F)cc3)c1)cc(Cl)cc2)O,1,CC(O)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12
hERG128,CN1C(=O)c(c2N(C)C1=O)n(C)cn2,1,Cn1c(=O)c2c(ncn2C)n(C)c1=O
hERG129,C1CC(c2c(c3[nH]c2c4ccccc4)cccc3)CNC1,1,c1ccc(-c2[nH]c3ccccc3c2C2CCCNC2)cc1
hERG130,O=C(C(Oc(c1C2=O)cc(C#N)cc1)=C2)NC3CCN(Cc4cc(c5cc4)OCO5)CC3,1,N#Cc1ccc2c(=O)cc(C(=O)NC3CCN(Cc4ccc5c(c4)OCO5)CC3)oc2c1
hERG131,Clc1cc(c2cc1)C(N3CCNCC3)=Nc(c4O2)cccc4,1,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2
hERG132,COc1cc(c2cc1)C3(C4C(N(C)CC3)C2)CCCC4,1,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3
hERG133,COC1C(NC(c2c(OC)cc(N)c(Cl)c2)=O)CCN(CCCOc3ccc(F)cc3)C1,1,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC
hERG134,COCCOCC#Cc1scc(c2c(c3[nH]n2)C(=O)c(c34)cc(CN5CCN(C)CC5)cc4)c1,1,COCCOCC#Cc1cc(-c2n[nH]c3c2C(=O)c2cc(CN4CCN(C)CC4)ccc2-3)cs1
hERG135,COc1ccc(CN2CCC(NC(C(Oc(c3C4=O)cc(F)cc3)=C4)=O)CC2)cc1,1,COc1ccc(CN2CCC(NC(=O)c3cc(=O)c4ccc(F)cc4o3)CC2)cc1
hERG136,CCN(CCNC(c1c(OC)cc(N)c(Cl)c1)=O)CC,1,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC
hERG137,FC1C(c2c(c3[nH]c2C4CCCCCC4)ccc(F)c3)CNCC1,1,Fc1ccc2c(C3CNCCC3F)c(C3CCCCCC3)[nH]c2c1
hERG138,CN(CCC=C1c(c2CCc(c13)cccc3)cccc2)C,1,CN(C)CCC=C1c2ccccc2CCc2ccccc21
hERG139,CCCCNCC(c1c(c2cc(Cl)c1)c(c3C2=Cc4ccc(Cl)cc4)ccc(Cl)c3)O,1,CCCCNCC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1C2=Cc1ccc(Cl)cc1
hERG140,NC(C(N1C(c2cc(O)ccc2)C=C(c3c(F)ccc(F)c3)C1)=O)C4CC4,1,NC(C(=O)N1CC(c2cc(F)ccc2F)=CC1c1cccc(O)c1)C1CC1
hERG141,Fc1cc(c2cc1)OC(C(NC3CCN(Cc4cc(c5cc4)OC(F)(F)O5)CC3)=O)=CC2=O,1,O=C(NC1CCN(Cc2ccc3c(c2)OC(F)(F)O3)CC1)c1cc(=O)c2ccc(F)cc2o1
hERG142,C1NCCC(c2c(c3[nH]c2c4ccccc4)cccc3)C1,1,c1ccc(-c2[nH]c3ccccc3c2C2CCNCC2)cc1
hERG143,OCCOCCN1CCN(C(c(c2Sc(c34)cccc3)cccc2)=N4)CC1,1,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1
