Name,Smiles,Property,Smiles_stand,logP,MW,rotB,HBA,HBD,nRING,TPSA
hERG018,CC(CN(C)C)CN1c(c2Sc(c13)cccc3)cc(C#N)cc2,1,CC(CN(C)C)CN1c2ccccc2Sc2ccc(C#N)cc21,4.358680000000004,323.4650000000001,4.0,4.0,0.0,3.0,30.27
hERG019,O=C1N(Cc2ccccc2)CCC1N(Cc3n(Cc4ccc(C#N)cc4)cnc3)Cc5cnccc5,1,N#Cc1ccc(Cn2cncc2CN(Cc2cccnc2)C2CCN(Cc3ccccc3)C2=O)cc1,4.001380000000003,476.58400000000023,9.0,6.0,0.0,5.0,78.05000000000001
hERG020,CN(CCC(c1ncccc1)c2ccc(Br)cc2)C,1,CN(C)CCC(c1ccc(Br)cc1)c1ccccn1,3.9277000000000024,319.246,5.0,2.0,0.0,2.0,16.130000000000003
hERG021,FC1C(c2c(c3[nH]c2C(Nc4ccccc4)=O)ccc(F)c3)CNCC1,1,O=C(Nc1ccccc1)c1[nH]c2cc(F)ccc2c1C1CNCCC1F,3.974300000000002,355.3880000000001,3.0,2.0,3.0,4.0,56.92
hERG022,COc1c(OC)cc(CNCC(COc2cc(c3cc2)C=CC(=O)N3)O)cc1,1,COc1ccc(CNCC(O)COc2ccc3[nH]c(=O)ccc3c2)cc1OC,2.0747999999999998,384.4320000000002,9.0,6.0,3.0,3.0,92.80999999999999
hERG023,CC1N(C(Nc2ccc(C(C)(C)C)cc2)=NC#N)CCN(c3c(F)cccn3)C1,1,CC1CN(c2ncccc2F)CCN1C(=NC#N)Nc1ccc(C(C)(C)C)cc1,3.9778800000000025,394.4980000000001,2.0,4.0,1.0,3.0,67.55
hERG024,CC(c1ccc(NC(N2CCN(c3c(Cl)cccn3)CC2)=O)cc1)(C)C,1,CC(C)(C)c1ccc(NC(=O)N2CCN(c3ncccc3Cl)CC2)cc1,4.386600000000003,372.9000000000001,2.0,3.0,1.0,3.0,48.470000000000006
hERG025,CN(CCCn1c(c2c(C(C(=O)NC3=O)=C3c4c(c5[nH]c4)cccc5)c1)cccc2)C,1,CN(C)CCCn1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc21,3.6415000000000015,412.49300000000017,6.0,4.0,2.0,5.0,70.13
hERG026,COc1c(OC)c(C(C2CCN(CCc3ccc(F)cc3)CC2)O)ccc1,1,COc1cccc(C(O)C2CCN(CCc3ccc(F)cc3)CC2)c1OC,3.831000000000003,373.46800000000013,7.0,4.0,1.0,3.0,41.93000000000001
hERG027,OCCN1CCN(CCCN2c(c3Sc(c24)cccc4)cc(Cl)cc3)CC1,1,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,3.942700000000003,403.9790000000002,6.0,5.0,1.0,4.0,29.950000000000003
hERG028,O=C1NN=C(c2ccc(Nc3ccncc3)cc2)CC1,1,O=C1CCC(c2ccc(Nc3ccncc3)cc2)=NN1,2.4393000000000002,266.304,3.0,4.0,2.0,3.0,66.38
hERG029,CN1c(c2C(c3ccccc3)=NC(NC(Nc4cc(C)ccc4)=O)C1=O)cccc2,1,Cc1cccc(NC(=O)NC2N=C(c3ccccc3)c3ccccc3N(C)C2=O)c1,3.9566200000000027,398.4660000000002,3.0,3.0,2.0,4.0,73.80000000000001
hERG030,COc1c(OC)cc(C(N2CCN(c3cc(c4cc3)CCC(=O)N4)CC2)=O)cc1,1,COc1ccc(C(=O)N2CCN(c3ccc4c(c3)CCC(=O)N4)CC2)cc1OC,2.5509000000000004,395.4590000000002,4.0,5.0,1.0,4.0,71.11
hERG031,FC1C(c2c(c3[nH]c2c4ccccc4)cccc3)CNCC1,1,FC1CCNCC1c1c(-c2ccccc2)[nH]c2ccccc12,4.249900000000003,294.37300000000005,2.0,1.0,2.0,4.0,27.82
hERG032,Clc1cc(CN2C(=O)C(N(Cc3n(Cc4ccc(C#N)cc4)cnc3)CCN5CCNCC5)CC2)ccc1,1,N#Cc1ccc(Cn2cncc2CN(CCN2CCNCC2)C2CCN(Cc3cccc(Cl)c3)C2=O)cc1,2.964780000000002,532.0920000000003,10.0,7.0,1.0,5.0,80.43
hERG033,CNCCCC1c(c2C=Cc(c13)cccc3)cccc2,1,CNCCCC1c2ccccc2C=Cc2ccccc21,4.301900000000003,263.384,4.0,1.0,1.0,3.0,12.03
hERG034,CC(c1ccccc1)(C2C=CC(C(c3cc(OC(F)F)c(OC(F)F)cc3)c4cc[n+]([O-])cc4)=CN2)O,1,CC(O)(c1ccccc1)C1C=CC(C(c2cc[n+]([O-])cc2)c2ccc(OC(F)F)c(OC(F)F)c2)=CN1,4.974300000000004,516.4910000000001,9.0,5.0,2.0,4.0,77.66000000000001
hERG035,CCN(Cc1cc(c2cc1)CCC(N3C(=O)CN(Cc4cscc4)CC3)C2)CC,1,CCN(CC)Cc1ccc2c(c1)CCC(N1CCN(Cc3ccsc3)CC1=O)C2,3.7916000000000034,411.6150000000002,7.0,4.0,0.0,4.0,26.79
hERG036,CCOC(C1C(N(C)C2CC1OC(c3ccccc3)=O)CC2)=O,1,CCOC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,2.2578000000000005,317.3850000000001,4.0,5.0,0.0,3.0,55.84
hERG037,CC(N=C(N1C2=O)C(O)CCC1)=C2CCN3CCC(c4c(c5on4)ccc(F)c5)CC3,1,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,3.081320000000002,426.49200000000025,4.0,7.0,1.0,5.0,84.39
hERG038,Fc1ccc(C2C3(CCN(C4(c5ccc(F)cc5)CCCCC4)CC3)C(=O)NC2)cc1,1,O=C1NCC(c2ccc(F)cc2)C12CCN(C1(c3ccc(F)cc3)CCCCC1)CC2,5.1200000000000045,424.53500000000025,3.0,2.0,1.0,5.0,32.34
hERG039,CN(C(N1C(c2ccccc2)C=C(c3c(F)ccc(F)c3)C1)=O)C4CCNCC4,1,CN(C(=O)N1CC(c2cc(F)ccc2F)=CC1c1ccccc1)C1CCNCC1,4.208900000000003,397.46900000000016,3.0,2.0,1.0,4.0,35.580000000000005
hERG040,CN(C(N1C(c2ccccc2)C=C(c3c(F)ccc(F)c3)C1)=O)CCCN,1,CN(CCCN)C(=O)N1CC(c2cc(F)ccc2F)=CC1c1ccccc1,3.8057000000000025,371.43100000000004,5.0,2.0,1.0,3.0,49.57
hERG041,COc1ccc(CCN2CCC(Nc3n(Cc4ccc(F)cc4)c(c5n3)cccc5)CC2)cc1,1,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,5.351300000000005,458.58100000000024,8.0,5.0,1.0,5.0,42.32
hERG042,Fc1ccc(c2c(C3CNCCC3)c(c4[nH]2)ccc(F)c4)cc1,1,Fc1ccc(-c2[nH]c3cc(F)ccc3c2C2CCCNC2)cc1,4.580100000000003,312.363,2.0,1.0,2.0,4.0,27.82
hERG043,CNCCCN1c(c2CCc(c13)cccc3)cccc2,1,CNCCCN1c2ccccc2CCc2ccccc21,3.5328000000000026,266.388,4.0,2.0,1.0,3.0,15.27
hERG044,CN1CCN(CCCCN2C(=O)N(N=Cc3ccc(c4ccc(Cl)cc4)o3)CC2=O)CC1,1,CN1CCN(CCCCN2C(=O)CN(N=Cc3ccc(-c4ccc(Cl)cc4)o3)C2=O)CC1,3.2257000000000025,457.9620000000003,8.0,6.0,0.0,4.0,72.6
hERG045,O=C1C2(CCN(C3C(c4ccccc4)CCCC3)CC2)C(c5ccccc5)CN1,1,O=C1NCC(c2ccccc2)C12CCN(C1CCCCC1c1ccccc1)CC2,4.708600000000005,388.5550000000001,3.0,2.0,1.0,5.0,32.34
hERG046,FC1C(c2c(c3[nH]c2c4ccccc4)ccc(Cl)c3)CNCC1,1,FC1CCNCC1c1c(-c2ccccc2)[nH]c2cc(Cl)ccc12,4.903300000000003,328.81800000000004,2.0,1.0,2.0,4.0,27.82
hERG047,CN(CCCN1c(c2Sc(c13)cccc3)cc(Cl)cc2)C,1,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,4.894400000000004,318.8730000000001,4.0,3.0,0.0,3.0,6.48
hERG048,CCC(c1c(c2n(c3ccc(F)cc3)c1)cc(Cl)cc2)CC,1,CCC(CC)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,6.326600000000004,315.819,4.0,1.0,0.0,3.0,4.93
hERG049,CN1C(CCOC(c2ccc(Cl)cc2)(c3ccccc3)C)CCC1,1,CN1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,5.104400000000005,343.898,6.0,2.0,0.0,3.0,12.47
hERG050,COc1c(OCC2CCN(C(CN(C)C)=O)CC2)cc(c3c1)ncnc3Nc4c(F)cc(Br)cc4,1,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C(=O)CN(C)C)CC1,4.462600000000005,546.4410000000003,8.0,7.0,1.0,4.0,79.82
hERG051,CC(C(C(N1C(c2ccccc2)C=C(c3c(F)ccc(F)c3)C1)=O)N)(C)C,1,CC(C)(C)C(N)C(=O)N1CC(c2cc(F)ccc2F)=CC1c1ccccc1,4.305100000000003,370.44300000000004,3.0,2.0,1.0,3.0,46.330000000000005
hERG052,FC1C(c2c(c3[nH]c2c4cscc4)ccc(F)c3)CNCC1,1,Fc1ccc2c(C3CNCCC3F)c(-c3ccsc3)[nH]c2c1,4.450500000000003,318.392,2.0,2.0,2.0,4.0,27.82
hERG053,CC(NC(C)(C)C)CC(c1ccccc1)c2ccccc2,1,CC(CC(c1ccccc1)c1ccccc1)NC(C)(C)C,4.985200000000004,281.44300000000004,5.0,1.0,1.0,2.0,12.03
hERG054,COc1c(OC)cc(c2c1)c(N)nc(N3CCN(C(c4ccco4)=O)CC3)n2,1,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,1.7845999999999997,383.40800000000024,4.0,8.0,1.0,4.0,106.95
hERG055,CCC(c1ccccc1)=C(c2ccc(OCCN(C)C)cc2)c3ccccc3,1,CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,5.9961000000000055,371.524,8.0,2.0,0.0,3.0,12.47
hERG056,Fc1ccc(C(c2ccc(F)cc2)N3CCNCC3)cc1,1,Fc1ccc(C(c2ccc(F)cc2)N2CCNCC2)cc1,2.9594000000000014,288.341,3.0,2.0,1.0,3.0,15.27
hERG057,FC1C(c2c(c3[nH]c2c4ccc(F)cc4)ccc(F)c3)CNCC1,1,Fc1ccc(-c2[nH]c3cc(F)ccc3c2C2CNCCC2F)cc1,4.528100000000003,330.35300000000007,2.0,1.0,2.0,4.0,27.82
hERG058,CN(CC1CCN(CC(Nc2nc(c3ccc(C)o3)nc(n4c(C)ccn4)c2)=O)CC1)C,1,Cc1ccc(-c2nc(NC(=O)CN3CCC(CN(C)C)CC3)cc(-n3nccc3C)n2)o1,2.751240000000001,437.5480000000002,7.0,8.0,1.0,4.0,92.32000000000001
hERG059,Cc1nc(CCN2CCC(C(c3ccc(NS(C)(=O)=O)cc3)=O)CC2)ccc1,1,Cc1cccc(CCN2CCC(C(=O)c3ccc(NS(C)(=O)=O)cc3)CC2)n1,2.8989200000000013,401.53200000000015,7.0,5.0,1.0,3.0,79.37
hERG060,CCN(Cc1cc(c2cc1)CCC(N3C(=O)CN(CCc4cc(C(F)(F)F)cc(N)c4)CC3)C2)CC,1,CCN(CC)Cc1ccc2c(c1)CCC(N1CCN(CCc3cc(N)cc(C(F)(F)F)c3)CC1=O)C2,4.373600000000003,502.6250000000003,8.0,4.0,1.0,4.0,52.81
hERG061,OC1(C2CCC(F)CC2)C(N3CCC4(C(=O)NCC4c5ccccc5)CC3)CCCC1,1,O=C1NCC(c2ccccc2)C12CCN(C1CCCCC1(O)C1CCC(F)CC1)CC2,4.184200000000003,428.59200000000027,3.0,3.0,2.0,5.0,52.57000000000001
hERG062,CCC(N(c1ccccc1)C2CCN(CCc3ccccc3)CC2)=O,1,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,4.136700000000004,336.47900000000004,6.0,2.0,0.0,3.0,23.550000000000004
hERG063,CC(N1CCN(c2ccc(OCC3OC(c4c(Cl)cc(Cl)cc4)(Cn5cncc5)OC3)cc2)CC1)=O,1,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,4.205800000000003,531.4399999999999,7.0,7.0,0.0,5.0,69.06
hERG064,CCC(c1c(c2n(c3ccc(F)cc3)c1)cc(Cl)cc2)=O,1,CCC(=O)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,5.0157000000000025,301.748,3.0,2.0,0.0,3.0,22.0
hERG065,COc1c(OC)cc(c2c1)C(=O)C(CC3CCN(Cc4ccccc4)CC3)C2,1,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,4.361100000000004,379.50000000000017,6.0,4.0,0.0,4.0,38.77
hERG066,Fc1ccc(CCN2CC(=O)N(C3Cc(c4CC3)ccc(CN5CCC(C(F)(F)F)CC5)c4)CC2)cc1,1,O=C1CN(CCc2ccc(F)cc2)CCN1C1CCc2cc(CN3CCC(C(F)(F)F)CC3)ccc2C1,4.844200000000005,517.6110000000002,6.0,3.0,0.0,5.0,26.790000000000006
hERG067,CCOC(C(C(c1c(Cl)cccc1)C(C(OC)=O)=C(C)N2)=C2COCCN)=O,1,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,2.266300000000001,408.88200000000006,8.0,7.0,2.0,2.0,99.88000000000001
hERG068,COc1c(C(NC2C(CN3CC2)CCC3)=O)cc(Cl)c(N)c1,1,COc1cc(N)c(Cl)cc1C(=O)NC1CCN2CCCC1C2,2.1449,323.8240000000002,3.0,4.0,2.0,3.0,67.58999999999999
hERG069,Clc1cc(Cl)c(COC(c2c(Cl)cc(Cl)cc2)Cn3cncc3)cc1,1,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,6.454800000000002,416.1350000000001,6.0,3.0,0.0,3.0,27.05
hERG070,Fc1ccc(n2c(c3c(C4CCN(CCN5C(=O)NCC5)CC4)c2)ccc(Cl)c3)cc1,1,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,4.627600000000004,440.9500000000002,5.0,3.0,1.0,5.0,40.510000000000005
hERG071,FC1C(c2c(c3[nH]c2c4ccccc4)cccc3Cl)CNCC1,1,FC1CCNCC1c1c(-c2ccccc2)[nH]c2c(Cl)cccc12,4.903300000000003,328.81800000000004,2.0,1.0,2.0,4.0,27.82
hERG072,CCC(C(c1ccccc1)(c2ccccc2)CC(N(C)C)C)OC(C)=O,1,CCC(OC(C)=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,4.654600000000005,353.50600000000003,8.0,3.0,0.0,2.0,29.54
hERG073,CC(C(N1C(c2ccccc2)C=C(c3c(F)ccc(F)c3)C1)=O)(CN)C,1,CC(C)(CN)C(=O)N1CC(c2cc(F)ccc2F)=CC1c1ccccc1,3.9166000000000025,356.416,4.0,2.0,1.0,3.0,46.330000000000005
hERG074,CCC(c1c(c2n(c3ccc(F)cc3)c1)cc(Cl)cc2)O,1,CCC(O)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,4.866400000000002,303.76400000000007,3.0,2.0,1.0,3.0,25.16
hERG075,Cc1[nH]c2c(c(c3N(C(c4ccc(NC(c5c(c6ccccc6)cccc5)=O)cc4)=O)CC2)cccc3)n1,1,Cc1nc2c([nH]1)CCN(C(=O)c1ccc(NC(=O)c3ccccc3-c3ccccc3)cc1)c1ccccc1-2,6.507320000000005,498.5860000000002,4.0,3.0,2.0,6.0,78.09
hERG076,CCOC(N1CCC(=C2c(c3CCc(c24)cc(Cl)cc4)nccc3)CC1)=O,1,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,4.887800000000005,382.89100000000025,1.0,3.0,0.0,4.0,42.43
hERG077,NCCC(c1ccccc1)Oc2ccc(C(F)(F)F)cc2,1,NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,4.174300000000002,295.304,5.0,2.0,1.0,2.0,35.25
hERG078,CN1C2c(c3CC1)c(c(c4C2)c(O)c(O)cc4)ccc3,1,CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,2.8499000000000025,267.328,0.0,3.0,2.0,4.0,43.7
hERG079,CC(C(C(N1C(c2ccccc2)C=C(c3c(F)ccc(F)c3)C1)=O)N)C,1,CC(C)C(N)C(=O)N1CC(c2cc(F)ccc2F)=CC1c1ccccc1,3.9150000000000027,356.416,4.0,2.0,1.0,3.0,46.330000000000005
hERG081,CC(N(C(C)C)CCC(c1c(O)ccc(C)c1)c2ccccc2)C,1,Cc1ccc(O)c(C(CCN(C(C)C)C(C)C)c2ccccc2)c1,5.341420000000006,325.496,7.0,2.0,1.0,2.0,23.47
hERG082,COc1ccc(CN(c2ncccc2)CCN(C)C)cc1,1,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,2.658400000000001,285.391,7.0,4.0,0.0,2.0,28.6
hERG083,CCN(CCCC(Nc1c(c2ncc1)ccc(Cl)c2)C)CC,1,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,4.810600000000004,319.88000000000005,8.0,3.0,1.0,2.0,28.16
hERG084,Brc1cc(c2cc1)OC(C(NC3CCN(Cc4cc(c5cc4)OCO5)CC3)=O)=CC2=O,1,O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2ccc(Br)cc2o1,3.678600000000002,485.33400000000023,4.0,6.0,1.0,5.0,81.01
hERG085,C(N1CC(C2(CCCC2)C3C1)CN(CC4CC4)C3)C5CC5,1,C1CCC2(C1)C1CN(CC3CC3)CC2CN(CC2CC2)C1,3.230400000000002,288.4790000000001,4.0,2.0,0.0,5.0,6.48
hERG086,FC1C(c2c(c3[nH]c2C(CC=CN4)=C4)ccc(F)c3)CNCC1,1,Fc1ccc2c(C3CNCCC3F)c(C3=CNC=CC3)[nH]c2c1,3.5699000000000014,315.367,2.0,2.0,3.0,4.0,39.849999999999994
hERG087,COc1c(OC)c(c2cc1)C(Cc3ccccc3)N4C(c(c5CC4)cc(OC)c(OC)c5)C2,1,COc1cc2c(cc1OC)C1Cc3ccc(OC)c(OC)c3C(Cc3ccccc3)N1CC2,5.160300000000005,445.55900000000025,6.0,5.0,0.0,5.0,40.160000000000004
hERG088,OC(c1c(c2nc(C(F)(F)F)c1)cccc2C(F)(F)F)C3NCCCC3,1,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,4.447900000000003,378.31600000000014,2.0,3.0,2.0,3.0,45.150000000000006
hERG089,COc1c(OC)cc(c2c1)C(Cc3ccc(Oc4c(O)ccc(CC5c(c6CCN5C)cc(OC)c(OC)c6)c4)cc3)N(C)CC2,1,COc1cc2c(cc1OC)C(Cc1ccc(Oc3cc(CC4c5cc(OC)c(OC)cc5CCN4C)ccc3O)cc1)N(C)CC2,6.7623000000000095,624.7780000000002,10.0,8.0,1.0,6.0,72.86
hERG090,CC(CN1CC(CNC(C(C(N2C(N)=C3Cl)NC(C)=C2)=C3)=O)CCC1)C,1,CC1=CN2C(N)=C(Cl)C=C(C(=O)NCC3CCCN(CC(C)C)C3)C2N1,1.8698000000000004,379.93600000000015,5.0,5.0,3.0,3.0,73.63
hERG091,OC(c1ccc(F)cc1)CCCN2CCC(c3ccc(Cl)cc3)(O)CC2,1,OC(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,4.2763000000000035,377.88700000000017,6.0,3.0,2.0,3.0,43.7
hERG092,CC(C(Cc1ccc(Cl)cc1)(O)C)CN(C)C,1,CC(CN(C)C)C(C)(O)Cc1ccc(Cl)cc1,2.831200000000001,255.789,5.0,2.0,1.0,1.0,23.47
hERG093,Clc1cc(N2CCN(CCCN3C(=O)N(C4=N3)C=CC=C4)CC2)ccc1,1,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,2.3617,371.8720000000001,5.0,6.0,0.0,4.0,45.78
hERG095,FC1C(c2c(c3[nH]c2c4ccccc4)cccc3F)CNCC1,1,Fc1cccc2c(C3CNCCC3F)c(-c3ccccc3)[nH]c12,4.389000000000003,312.363,2.0,1.0,2.0,4.0,27.82
hERG096,Clc1c(C(n2cncc2)(c3ccccc3)c4ccccc4)cccc1,1,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,5.376700000000004,344.845,4.0,2.0,0.0,4.0,17.82
hERG097,CNCCCC(c(c12)cccc1)(c(c34)cccc3)CCC24,1,CNCCCC12CCC(c3ccccc31)c1ccccc12,4.211400000000004,277.41100000000006,4.0,1.0,1.0,5.0,12.03
hERG098,O=C1N(c2ccncc2)CCC1NCc3n(Cc4ccc(C#N)cc4)cnc3,1,N#Cc1ccc(Cn2cncc2CNC2CCN(c3ccncc3)C2=O)cc1,2.0931799999999994,372.432,6.0,6.0,1.0,4.0,86.84
hERG099,Cc1c(CN2C(=O)c3c(n(C)c(c34)cccc4)CC2)[nH]cn1,1,Cc1nc[nH]c1CN1CCc2c(c3ccccc3n2C)C1=O,2.4083200000000007,294.35800000000006,2.0,3.0,1.0,4.0,53.92
hERG100,Cc1c(NC(CN2CCN(CCCC(c3ccc(F)cc3)c4ccc(F)cc4)CC2)=O)c(C)ccc1,1,Cc1cccc(C)c1NC(=O)CN1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,5.750040000000006,491.6260000000002,9.0,3.0,1.0,4.0,35.580000000000005
hERG101,CCN(Cc1cc(c2cc1)CCC(N3C(=O)CN(CCc4ccc(Cl)cc4)CC3)C2)CC,1,CCN(CC)Cc1ccc2c(c1)CCC(N1CCN(CCc3ccc(Cl)cc3)CC1=O)C2,4.426000000000004,454.0580000000003,8.0,3.0,0.0,4.0,26.79
hERG102,CCN(Cc1cc(c2cc1)CCC(N3C(=O)CN(CCC4CCCCC4)CC3)C2)CC,1,CCN(CC)Cc1ccc2c(c1)CCC(N1CCN(CCC3CCCCC3)CC1=O)C2,4.500300000000005,425.6610000000004,8.0,3.0,0.0,4.0,26.79
hERG103,CN(CCCN1c(c2CCc(c13)cccc3)cccc2)C,1,CN(C)CCCN1c2ccccc2CCc2ccccc21,3.8750000000000027,280.415,4.0,2.0,0.0,3.0,6.48
hERG104,NC(C(N1C(c2ccccc2)C=C(c3c(F)ccc(F)c3)C1)=O)C4CC4,1,NC(C(=O)N1CC(c2cc(F)ccc2F)=CC1c1ccccc1)C1CC1,3.6690000000000023,354.4000000000001,4.0,2.0,1.0,4.0,46.330000000000005
